State/UTs,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,547061,296412,250649,399001
Andhra Pradesh,58687718,34364664,24323054,91702478
Arunachal Pradesh,1395849,791634,604215,1711947
Assam,32524685,20991429,11533256,35998752
Bihar,78683194,53691963,24991231,128500364
Chandigarh,1556509,938486,618023,1158040
Chhattisgarh,25243184,16132509,9110675,32199722
Dadra and Nagar Haveli and Daman and Diu,1105214,673111,432103,773997
Delhi,22347119,13740799,8606320,19301096
Goa,2296421,1279610,1016811,1521992
Gujarat,79506725,45660192,33846533,70400153
Haryana,28279393,18472110,9807283,28900667
Himachal Pradesh,10788339,5807885,4980454,7503010
Jammu and Kashmir,16489877,9590157,6899720,14999397
Jharkhand,23857713,16360512,7497201,40100376
Karnataka,72552165,44218327,28333838,69599762
Kerala,42428407,25630787,16797620,34698876
Ladakh,381222,211525,169697,290492
Lakshadweep,104376,55387,48989,66001
Madhya Pradesh,84592121,50963355,33628766,85002417
Maharashtra,110858461,72754237,38104224,124904071
Manipur,2132614,1276059,856555,3436948
Meghalaya,1960533,1160812,799721,3772103
Mizoram,1282038,728855,553183,1308967
Nagaland,1275044,732777,542267,2073074
Odisha,42801202,27619492,15181710,47099270
Puducherry,1215736,756796,458940,1646050
Punjab,23837982,16468129,7369853,30501026
Rajasthan,66964066,43289613,23674453,79502477
Sikkim,991476,523086,468390,658019
Tamil Nadu,68173112,44621560,23551552,83697770
Telangana,37224758,24725352,12499406,38157311
Tripura,4530702,2542376,1988326,4184959
Uttar Pradesh,157019591,109594108,47425483,231502578
Uttarakhand,12461341,7565300,4896041,11700099
West Bengal,90755742,62611076,28144666,100896618
